substrate	product	barrier	heat
CC1=CC[C@H]([C@@H](C)CCC[C+](C)C)C=C1	CC(C)=C[C@H]1C[C@H](C)[C@@H]2CC[C+](C)[C@H]1C2	27.874	-21.247
C[C+]1CC[C@]23C[C@H]1C(C)(C)[C@@H]2CC[C@@H]3C	C[C+]1[C@@H]2CC[C@H](C)[C@]23CC[C@@](C)(C3)[C@@H]1C	11.357	-13.157
C=C1CC[C@H]2C[C@H](C(C)C)CC[C+]2[C@@H]1C	C=C1CC[C@H]2C[C@H](C(C)C)CC[C@@]12[CH+]C	25.856	18.091
CC(C)=C1CC[C+](C)CC[C@H]2[C@@H](C1)[C@@H]2C	CC(C)=C1[CH+][C@H]2[C@H](C)[C@H]2CC[C@@H](C)CC1	3.416	-17.47
CC1=CC[C@H]([C@]2(C)CC[C@H](C)[C+]2C)CC1	CC1=CC[C@H]([C+](C)[C@]2(C)CC[C@@H]2C)CC1	37.789	15.898
C[CH+][C@H]1C[C@]2(C)CC[C@@H]3[C@@]1(C)CC[C@@]32C	CC[C+]1C[C@]2(C)CC[C@@H]3[C@@]1(C)CC[C@@]32C	1.044	-15.744
C[C+]1CC[C@H](C)[C@@H](C)C/C=C/1C1(C)CC1	C[C@H]1CC[C@]2(C)[C+](C3(C)CC3)[C@@H]2C[C@@H]1C	9.748	3.536
C[C@H]1[CH+][C@@H]2CCC[C@]3(C)[C@@H](C)CC[C@@]23C1	C[C@H]1CC[C@@]23C[CH+][C@@H](C)[C@@H]2CCC[C@]13C	6.489	1.125
C/C1=C2/CC[C@]2(C)CC[C@@H]([C+](C)C)CC1	[CH2+]/C1=C2/CC[C@]2(C)CC[C@@H](C(C)C)CC1	10.893	0.543
C[C+](C)C/C=C1\CC[C@@H](C)[C@@H]2CC[C@]12C	C[C@@H]1CC[C+]([C@H]2CC2(C)C)[C@@]2(C)CC[C@@H]12	3.274	-16.968
C/C1=C\CC[C+](C)/C=C\[C@H](C(C)C)CC1	CC(C)[C@H]1[CH+]C[C@@]2(C)CCC[C@@]2(C)CC1	32.122	32.052
C[C+](C)C/C=C1/CC[C@H](C)[C@H]2CC[C@@]12C	C[C@H]1CC[C+]([C@H]2CC2(C)C)[C@]2(C)CC[C@H]12	5.319	-10.462
C=C1CC[C@H]2C[C@H](C(C)C)CC[C@@]12[CH+]C	C=C1CC[C+]2C[C@H](C(C)C)CC[C@@]12CC	5.281	-15.903
CC1=C[CH+][C@@]2(C)CC[C@H](C(C)C)[C@H]2CC1	C[C+]1[C@@H]2CC[C@@]3(C)[C@@H](CC[C@@H]2C(C)C)[C@@H]13	21.454	0.862
C[C+](C)[C@]12CC[C@H](C)[C@@]13CC[C@H](C3)[C@@H]2C	C[C@H]1[C@@H]2CC[C@@]3(C2)[C+](CC[C@@H]3C)C1(C)C	4.736	-24.424
C[C+](C)C[C@@H]1C2=C(CC[C@H]1C)[C@@H](C)CC2	CC(C)C[C@@H]1[C+]2CC[C@H](C)C2=CC[C@H]1C	11.205	-0.658
